brightness,      y,      x, calibrated magnitude
3.027503e+04,   1770,    679, 1.409729e+01
4.721787e+04,   1082,    980, 1.361473e+01
1.615331e+04,   3670,   1976, 1.477935e+01
1.732030e+04,    500,    446, 1.470361e+01
1.933790e+04,    982,   1782, 1.458398e+01
7.526723e+03,   3071,   1726, 1.560849e+01
1.719881e+04,   3890,    933, 1.471125e+01
6.852500e+02,   2200,   1424, 1.821038e+01
1.135625e+04,   3933,   1582, 1.516191e+01
1.182675e+04,   2777,   2102, 1.511784e+01
1.015696e+04,   1036,   2205, 1.528309e+01
   541,   1783,   1399, 1.846701e+01
4.633837e+03,   3498,   1491, 1.613515e+01
2.868292e+03,   1767,   1421, 1.665594e+01
1.198740e+04,   3488,   1365, 1.510319e+01
7.666088e+03,   3927,   1702, 1.558857e+01
1.904778e+04,    341,   1122, 1.460039e+01
3.777500e+02,   2194,   1422, 1.885699e+01
8.439284e+03,   2055,   1658, 1.548424e+01
2.056699e+04,    262,   1945, 1.451707e+01
1.254391e+04,   2902,    950, 1.505392e+01
1.200819e+04,    725,    652, 1.510131e+01
2.442500e+02,   3498,   1420, 1.933041e+01
1.707776e+04,   3893,   1573, 1.471892e+01
7.647500e+02,   3502,   1418, 1.809120e+01
1.807475e+04,   1644,   1742, 1.465732e+01
2.324029e+04,   2709,   1005, 1.438440e+01
4.892500e+02,   3182,   1200, 1.857617e+01
4.022500e+02,   1776,   1400, 1.878876e+01
1.582613e+04,   1502,    832, 1.480156e+01
9.197244e+03,   4404,   2124, 1.539086e+01
9.457994e+03,   2941,    317, 1.536050e+01
4.417500e+02,   3506,   1424, 1.868706e+01
1.188369e+04,   2402,   2326, 1.511262e+01
6.072500e+02,   1779,   1399, 1.834158e+01
3.226030e+04,    304,   2090, 1.402833e+01
9.599187e+03,   1991,   2363, 1.534441e+01
1.584085e+04,    222,   2031, 1.480055e+01
    88,   4357,   2252, 2.043879e+01
2.777776e+04,   2045,   1165, 1.419076e+01
8.863238e+03,   2200,    617, 1.543102e+01
9.980925e+03,   3238,   1795, 1.530207e+01
4.294170e+04,   2772,   1934, 1.371780e+01
2.242820e+04,   2931,    775, 1.442301e+01
1.478975e+04,    282,   1959, 1.487510e+01
2.521871e+04,   3295,   2359, 1.429569e+01
2.239026e+04,    252,    257, 1.442485e+01
7.754805e+03,   3345,    944, 1.557607e+01
1.418750e+02,   4357,   2253, 1.992024e+01
1.342731e+04,   2276,   2265, 1.498003e+01
8.699812e+03,   3604,    595, 1.545123e+01
2.017959e+04,    877,   1883, 1.453772e+01
9.081759e+03,   2383,    406, 1.540458e+01
5.805000e+02,    397,   1418, 1.839049e+01
1.517500e+02,   1772,   1402, 1.984718e+01
1.742069e+04,   1659,    488, 1.469734e+01
3.537500e+02,    511,   1273, 1.892826e+01
8.734890e+03,   1460,   1793, 1.544686e+01
1.383406e+04,   2635,   2041, 1.494763e+01
1.643075e+04,   1696,   1135, 1.476086e+01
9.692500e+02,   2601,   1710, 1.783391e+01
1.119925e+04,   1971,   1831, 1.517703e+01
9.594582e+03,   1817,   2219, 1.534493e+01
1.092538e+04,   3139,    520, 1.520391e+01
1.620935e+04,   1112,    650, 1.477559e+01
6.835000e+02,   3186,   1197, 1.821315e+01
9.618021e+03,   3315,   2070, 1.534229e+01
5.280108e+03,   1827,   2356, 1.599339e+01
1.511145e+04,    491,   1313, 1.485173e+01
1.279134e+04,   3260,    562, 1.503271e+01
9.232710e+03,   3116,   1211, 1.538668e+01
1.050219e+04,   4130,   2027, 1.524680e+01
4.256537e+04,   3159,   2047, 1.372736e+01
1.389290e+04,   1963,    374, 1.494302e+01
1.111250e+02,   4358,   2251, 2.018547e+01
5.842500e+02,   1766,   1411, 1.838350e+01
1.538104e+04,   4353,   1965, 1.483254e+01
1.309781e+04,   1131,   1914, 1.500700e+01
1.046537e+04,   4079,   1845, 1.525061e+01
1.202450e+04,   1785,    823, 1.509983e+01
2.101395e+04,   2276,   1645, 1.449373e+01
8.970649e+03,    560,   2118, 1.541794e+01
2.707500e+02,   1774,   1400, 1.921858e+01
2.678397e+04,   3606,    677, 1.423031e+01
   304,   1769,   1404, 1.909282e+01
8.522780e+03,   1528,    303, 1.547355e+01
1.602020e+04,   1175,    941, 1.478833e+01
5.155000e+02,    393,   1418, 1.851943e+01
6.353034e+03,   3434,   2311, 1.579255e+01
1.438432e+04,   1476,   1125, 1.490528e+01
1.555708e+04,   4064,   1523, 1.482018e+01
1.346381e+04,   1919,   1519, 1.497708e+01
8.506688e+03,   3724,   2085, 1.547560e+01
1.380688e+04,   2884,   1504, 1.494976e+01
