brightness,      y,      x, calibrated magnitude
2.392526e+04,   3313,   2013, 1.435286e+01
1.300938e+04,   4110,    360, 1.501436e+01
3.923107e+04,   4393,   1661, 1.381592e+01
1.651233e+04,   2259,   1408, 1.475548e+01
1.413380e+04,   3537,   1341, 1.492435e+01
2.564813e+04,   2879,   2192, 1.427736e+01
4.325651e+04,   3472,   2202, 1.370987e+01
1.115394e+04,   3155,   1771, 1.518143e+01
2.606049e+04,   1327,   2001, 1.426004e+01
2.687733e+04,   1551,   1851, 1.422653e+01
2.133852e+03,   3500,   1420, 1.697709e+01
1.313055e+04,   3562,   1526, 1.500429e+01
1.216705e+04,   2402,   1951, 1.508704e+01
1.914649e+04,   4194,   2217, 1.459478e+01
1.170912e+04,   2396,   1323, 1.512869e+01
3.005162e+04,   1398,   1892, 1.410533e+01
2.424529e+04,   3580,    637, 1.433843e+01
1.412086e+04,   1898,    264, 1.492535e+01
2.486892e+04,   2552,   1378, 1.431086e+01
1.917478e+04,   2901,   1203, 1.459317e+01
2.136388e+04,   3351,   2329, 1.447580e+01
2.003686e+04,    524,    821, 1.454543e+01
1.755667e+04,   1855,   1655, 1.468889e+01
1.402377e+04,   3990,    456, 1.493284e+01
2.401375e+04,   2102,   2007, 1.434885e+01
1.547803e+04,   3974,   1834, 1.482571e+01
1.589977e+04,   1056,   1245, 1.479652e+01
1.530654e+04,    508,   1737, 1.483781e+01
2.296478e+04,   2887,   1710, 1.439734e+01
2.434976e+04,   1285,   1754, 1.433376e+01
2.012379e+04,   2116,   1977, 1.454073e+01
1.001454e+03,   1786,   1401, 1.779842e+01
1.115686e+04,   3498,   1490, 1.518115e+01
1.229359e+04,   3096,   1851, 1.507580e+01
2.279639e+03,   3496,   1424, 1.690533e+01
3.413264e+04,   2009,   2349, 1.396708e+01
2.262744e+04,   3293,    598, 1.441341e+01
1.514270e+04,   1807,   2088, 1.484949e+01
2.029402e+04,    531,   2337, 1.453158e+01
4.451625e+04,   1237,    760, 1.367870e+01
1.020026e+04,   3564,   1605, 1.527847e+01
1.825784e+04,   3317,    669, 1.464638e+01
1.570570e+04,   3897,   1205, 1.480986e+01
2.056442e+04,   1317,    443, 1.451721e+01
2.395801e+04,   3719,    973, 1.435137e+01
1.505647e+04,   1476,   2137, 1.485569e+01
2.146145e+04,    259,   2186, 1.447085e+01
2.075597e+04,   2328,    851, 1.450714e+01
3.561750e+03,   1921,   1066, 1.642084e+01
1.437333e+03,   2330,   2369, 1.740611e+01
2.774365e+04,   2764,    241, 1.419209e+01
1.456465e+04,   3736,   1819, 1.489175e+01
1.557719e+04,   1326,   2158, 1.481878e+01
1.402514e+04,    557,    408, 1.493273e+01
1.465063e+04,   2450,    579, 1.488536e+01
3.316954e+04,   2600,   1722, 1.399815e+01
9.620492e+03,   3065,   1842, 1.534201e+01
9.330913e+03,   4179,    967, 1.537519e+01
1.742360e+04,    450,   2229, 1.469716e+01
2.370049e+04,   3831,    938, 1.436311e+01
1.207556e+04,   4058,   1086, 1.509523e+01
1.472696e+04,   2742,   1975, 1.487972e+01
1.157565e+03,   1769,   1424, 1.764114e+01
5.142343e+04,   3012,    276, 1.352210e+01
1.521698e+04,   3858,   1974, 1.484418e+01
1.252003e+04,   3510,   2155, 1.505599e+01
1.269919e+04,   1056,    800, 1.504056e+01
1.287026e+04,   2013,   1250, 1.502603e+01
1.221956e+04,    726,   1041, 1.508236e+01
2.203130e+04,   3374,    929, 1.444240e+01
1.503106e+04,   2136,   1750, 1.485753e+01
1.797544e+04,    473,    270, 1.466330e+01
2.374181e+04,   4397,    304, 1.436122e+01
1.673944e+03,   1769,   1406, 1.724065e+01
1.238700e+04,   3454,   1492, 1.506758e+01
8.397768e+03,   3702,   1195, 1.548959e+01
3.283354e+04,    616,   1097, 1.400921e+01
1.526185e+03,   1775,   1401, 1.734098e+01
3.242747e+04,   2507,   1669, 1.402272e+01
1.527081e+04,   3431,    946, 1.484034e+01
1.045926e+04,    709,   1326, 1.525125e+01
1.885625e+04,   4358,   2252, 1.461136e+01
1.054046e+03,   2322,   2369, 1.774285e+01
3.042622e+04,   1770,    679, 1.409188e+01
4.544495e+04,   1082,    980, 1.365629e+01
1.707629e+04,   3670,   1976, 1.471902e+01
1.689794e+04,    500,    446, 1.473042e+01
1.674667e+03,   1767,   1410, 1.724018e+01
2.115221e+04,    982,   1782, 1.448661e+01
7.569129e+03,   3071,   1726, 1.560239e+01
1.868639e+04,   3890,    933, 1.462119e+01
1.642519e+03,   2200,   1424, 1.726122e+01
1.196260e+04,   3933,   1582, 1.510544e+01
1.254838e+04,   2777,   2102, 1.505353e+01
1.405073e+04,   1036,   2205, 1.493075e+01
1.722574e+03,   1795,   1406, 1.720956e+01
1.214081e+04,   3488,   1365, 1.508938e+01
8.063713e+03,   3927,   1702, 1.553366e+01
1.965265e+04,    341,   1122, 1.456645e+01
8.862516e+03,   2055,   1658, 1.543111e+01
2.124062e+04,    262,   1945, 1.448208e+01
1.243690e+04,   2902,    950, 1.506322e+01
1.259318e+04,    725,    652, 1.504966e+01
1.769234e+04,   3893,   1573, 1.468054e+01
1.645383e+04,   1644,   1742, 1.475933e+01
2.420350e+04,   2709,   1005, 1.434030e+01
1.236028e+03,   3182,   1200, 1.756993e+01
1.636659e+04,   1502,    832, 1.476510e+01
9.464494e+03,   4404,   2124, 1.535976e+01
1.098843e+04,   2941,    317, 1.519766e+01
5.146852e+02,   3506,   1424, 1.852115e+01
1.262332e+04,   2402,   2326, 1.504707e+01
1.662917e+03,   1779,   1399, 1.724782e+01
3.487183e+04,    304,   2090, 1.394381e+01
8.114112e+03,   1991,   2363, 1.552690e+01
1.657389e+04,    222,   2031, 1.475144e+01
2.018685e+03,   1791,   1402, 1.703733e+01
